"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100634-Z_56240_STOP","098B07","AK 68 - AC 3","4.622672","-74.124949","0","","0","","","","0","",""
"100634-Z_56239_STOP","098A07","AK 68 - AC 3","4.62207","-74.12516","0","","0","","","","0","",""
"100634-Z_56247_STOP","100A07","AK 68 - AC 3","4.624779","-74.123884","0","","0","","","","0","",""
"100634-Z_56250_STOP","100D07","AK 68 - CL 1","4.622198","-74.124751","0","","0","","","","0","",""
"100634-Z_56241_STOP","098C07","AK 68 - CL 1","4.623105","-74.124824","0","","0","","","","0","",""
"100634-Z_56242_STOP","098D07","AK 68 - CL 1","4.62377","-74.124604","0","","0","","","","0","",""
"100634-Z_56238_STOP","097D07","AK 68 - CL 5","4.627947","-74.123025","0","","0","","","","0","",""
"100634-Z_56237_STOP","097C07","AK 68 - CL 5","4.627702","-74.123113","0","","0","","","","0","",""
"100634-Z_56231_STOP","096A07","AK 68 - CL 8","4.630861","-74.121785","0","","0","","","","0","",""
"100634-Z_56195_STOP","091A07","AK 68 - CL 9","4.630528","-74.121557","0","","0","","","","0","",""
"100634-Z_56232_STOP","096B07","AK 68 - CL 9","4.631213","-74.121669","0","","0","","","","0","",""
"100634-Z_56197_STOP","091C07","AK 68 - CL 9","4.629865","-74.12183","0","","0","","","","0","",""
"100634-Z_56251_STOP","101A07","AK 68- CL 10","4.63313","-74.120487","0","","0","","","","0","",""
"100634-Z_52992_STOP","068A06","AK 68- CL 20","4.644228","-74.111","0","","0","","","","0","",""
"100634-Z_56244_STOP","099B07","AK 68- CL 4g","4.627757","-74.122697","0","","0","","","","0","",""
"100634-Z_57807_STOP","828A00","AK 7 - AC 32","4.618433","-74.068427","0","","0","","","","0","",""
"100634-Z_57798_STOP","819A00","AK 7 - AC 57","4.643469","-74.061908","0","","0","","","","0","",""
"100634-Z_56886_STOP","040A00","AK 7 - AC 85","4.666516","-74.045975","0","","0","","","","0","",""
"100634-Z_57611_STOP","363A00","AK 7 - AC 85","4.666209","-74.046375","0","","0","","","","0","",""
"100634-Z_57582_STOP","343A00","AK 7 - AC 94","4.673972","-74.041939","0","","0","","","","0","",""
"100634-Z_57883_STOP","655A00","AK 7 - CL 24","4.610485","-74.069977","0","","0","","","","0","",""
"100634-Z_57884_STOP","656A00","AK 7 - CL 27","4.612116","-74.06961","0","","0","","","","0","",""
"100634-Z_57898_STOP","675A00","AK 7 - CL 29","4.615457","-74.06891","0","","0","","","","0","",""
"100634-Z_57858_STOP","777A00","AK 7 - CL 32","4.61926","-74.06784","0","","0","","","","0","",""
"100634-Z_57803_STOP","824A00","AK 7 - CL 33","4.621033","-74.067343","0","","0","","","","0","",""
"100634-Z_57859_STOP","778A00","AK 7 - CL 35","4.62247","-74.066527","0","","0","","","","0","",""
"100634-Z_57630_STOP","386A00","AK 7 - CL 36","4.62419","-74.066041","0","","0","","","","0","",""
"100634-Z_57802_STOP","823A00","AK 7 - CL 37","4.624834","-74.066122","0","","0","","","","0","",""
"100634-Z_57628_STOP","384A00","AK 7 - CL 40","4.627732","-74.065191","0","","0","","","","0","",""
"100634-Z_57801_STOP","822A00","AK 7 - CL 42","4.630066","-74.064764","0","","0","","","","0","",""
"100634-Z_57627_STOP","383A00","AK 7 - CL 43","4.630481","-74.064386","0","","0","","","","0","",""
"100634-Z_57626_STOP","381A00","AK 7 - CL 46","4.633185","-74.063738","0","","0","","","","0","",""
"100634-Z_57800_STOP","821A00","AK 7 - CL 46","4.633297","-74.063953","0","","0","","","","0","",""
"100634-Z_57799_STOP","820A00","AK 7 - CL 48","4.635005","-74.06389","0","","0","","","","0","",""
"100634-Z_57624_STOP","378A00","AK 7 - CL 51","4.638567","-74.063222","0","","0","","","","0","",""
"100634-Z_57623_STOP","377A00","AK 7 - CL 52","4.639013","-74.062881","0","","0","","","","0","",""
"100634-Z_57622_STOP","376A00","AK 7 - CL 55","4.640994","-74.062587","0","","0","","","","0","",""
"100634-Z_57631_STOP","387A00","AK 7 - CL 56","4.642226","-74.062029","0","","0","","","","0","",""
"100634-Z_57620_STOP","374A00","AK 7 - CL 58","4.643855","-74.061586","0","","0","","","","0","",""
"100634-Z_57621_STOP","375A00","AK 7 - CL 60","4.645745","-74.061138","0","","0","","","","0","",""
"100634-Z_57619_STOP","373A00","AK 7 - CL 64","4.648212","-74.059489","0","","0","","","","0","",""
"100634-Z_57618_STOP","372A00","AK 7 - CL 66","4.649412","-74.059086","0","","0","","","","0","",""
"100634-Z_57805_STOP","826A00","AK 7 - CL 68","4.651443","-74.057233","0","","0","","","","0","",""
