"fare_id","route_id","origin_id","destination_id","contains_id"
"100634-3","100634-Z_7410","0","",""
"100634-3","100634-Z_7411","0","",""
"100634-3","100634-Z_7071","0","",""
"100634-3","100634-Z_7071","0","",""
"100634-3","100634-Z_7923","0","",""
"100634-3","100634-Z_7923","0","",""
"100634-3","100634-Z_6319","0","",""
"100634-3","100634-Z_7450","0","",""
"100634-3","100634-Z_7450","0","",""
"100634-3","100634-Z_7107","0","",""
"100634-3","100634-Z_7108","0","",""
"100634-3","100634-Z_7107","0","",""
"100634-3","100634-Z_7459","0","",""
"100634-3","100634-Z_7459","0","",""
"100634-3","100634-Z_7455","0","",""
"100634-3","100634-Z_7455","0","",""
"100634-3","100634-Z_4652","0","",""
"100634-3","100634-Z_4652","0","",""
"100634-3","100634-Z_7903","0","",""
"100634-3","100634-Z_7903","0","",""
"100634-3","100634-Z_7819","0","",""
"100634-3","100634-Z_7819","0","",""
"100634-3","100634-Z_7872","0","",""
"100634-3","100634-Z_7872","0","",""
"100634-3","100634-Z_7853","0","",""
"100634-3","100634-Z_5340","0","",""
"100634-3","100634-Z_7739","0","",""
"100634-3","100634-Z_7740","0","",""
"100634-3","100634-Z_7673","0","",""
"100634-3","100634-Z_5812","0","",""
"100634-3","100634-Z_6829","0","",""
"100634-3","100634-Z_4815","0","",""
"100634-3","100634-Z_4815","0","",""
"100634-3","100634-Z_7232","0","",""
"100634-3","100634-Z_6830","0","",""
"100634-3","100634-Z_6449","0","",""
"100634-3","100634-Z_6493","0","",""
"100634-3","100634-Z_6493","0","",""
"100634-3","100634-Z_7719","0","",""
"100634-3","100634-Z_7719","0","",""
"100634-3","100634-Z_6636","0","",""
"100634-3","100634-Z_6636","0","",""
"100634-3","100634-Z_7910","0","",""
"100634-3","100634-Z_7910","0","",""
"100634-3","100634-Z_5532","0","",""
"100634-3","100634-Z_7345","0","",""
"100634-3","100634-Z_7824","0","",""
"100634-3","100634-Z_6154","0","",""
"100634-3","100634-Z_6179","0","",""
"100634-3","100634-Z_7559","0","",""
"100634-3","100634-Z_7559","0","",""
"100634-3","100634-Z_7243","0","",""
"100634-3","100634-Z_7813","0","",""
"100634-3","100634-Z_7146","0","",""
"100634-3","100634-Z_7691","0","",""
"100634-3","100634-Z_7565","0","",""
"100634-3","100634-Z_7565","0","",""
"100634-3","100634-Z_7401","0","",""
"100634-3","100634-Z_5655","0","",""
"100634-3","100634-Z_5662","0","",""
"100634-3","100634-Z_7227","0","",""
"100634-3","100634-Z_7843","0","",""
"100634-3","100634-Z_7843","0","",""
"100634-3","100634-Z_7167","0","",""
"100634-3","100634-Z_7514","0","",""
"100634-3","100634-Z_7514","0","",""
"100634-3","100634-Z_7514","0","",""
"100634-3","100634-Z_6464","0","",""
"100634-3","100634-Z_6464","0","",""
"100634-3","100634-Z_6840","0","",""
"100634-3","100634-Z_6840","0","",""
"100634-3","100634-Z_6840","0","",""
"100634-3","100634-Z_6803","0","",""
"100634-3","100634-Z_7149","0","",""
"100634-3","100634-Z_7569","0","",""
"100634-3","100634-Z_7905","0","",""
"100634-3","100634-Z_6177","0","",""
"100634-3","100634-Z_7833","0","",""
"100634-3","100634-Z_7100","0","",""
"100634-3","100634-Z_7922","0","",""
"100634-3","100634-Z_7598","0","",""
"100634-3","100634-Z_7087","0","",""
"100634-3","100634-Z_7530","0","",""
"100634-3","100634-Z_7530","0","",""
"100634-3","100634-Z_7832","0","",""
"100634-3","100634-Z_6886","0","",""
"100634-3","100634-Z_6886","0","",""
"100634-3","100634-Z_7382","0","",""
"100634-3","100634-Z_7382","0","",""
"100634-3","100634-Z_5753","0","",""
"100634-3","100634-Z_5753","0","",""
"100634-3","100634-Z_7886","0","",""
"100634-3","100634-Z_7886","0","",""
"100634-3","100634-Z_7446","0","",""
"100634-3","100634-Z_7905-2","0","",""
"100634-3","100634-Z_7238","0","",""
"100634-3","100634-Z_7239","0","",""
"100634-3","100634-Z_7900-2","0","",""
"100634-3","100634-Z_7701-2","0","",""
"100634-3","100634-Z_7877-2","0","",""
"100634-3","100634-Z_7540","0","",""
"100634-3","100634-Z_7189","0","",""
"100634-3","100634-Z_7189","0","",""
"100634-3","100634-Z_5948","0","",""
"100634-3","100634-Z_7513","0","",""
"100634-3","100634-Z_7513","0","",""
"100634-3","100634-Z_7587","0","",""
"100634-3","100634-Z_7587","0","",""
"100634-3","100634-Z_7090-2","0","",""
"100634-3","100634-Z_7764-2","0","",""
"100634-3","100634-Z_7865","0","",""
"100634-3","100634-Z_7865","0","",""
"100634-3","100634-Z_7865","0","",""
"100634-3","100634-Z_6878","0","",""
"100634-3","100634-Z_7056-2","0","",""
"100634-3","100634-Z_7769","0","",""
"100634-3","100634-Z_6177-2","0","",""
"100634-3","100634-Z_7311","0","",""
"100634-3","100634-Z_7310","0","",""
"100634-3","100634-Z_7931-2","0","",""
"100634-3","100634-Z_7411-2","0","",""
"100634-3","100634-Z_7411-2","0","",""
"100634-3","100634-Z_7533","0","",""
"100634-3","100634-Z_7533","0","",""
"100634-3","100634-Z_7533","0","",""
"100634-3","100634-Z_7533","0","",""
"100634-3","100634-Z_6243","0","",""
