route_id,service_id,trip_id,shape_id
Z_7804,3,BCH4F0003-22-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-23-3_Z_7804,Z_7804
Z_7804,3,BCH4F0003-24-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-09-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-11-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-12-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-19-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-20-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-21-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-22-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-23-3_Z_7804,Z_7804
Z_7804,3,BCH4F0004-24-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-09-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-11-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-12-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-19-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-20-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-21-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-22-3_Z_7804,Z_7804
Z_7804,3,BCH4F0005-23-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-09-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-11-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-12-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-19-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-20-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-21-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-22-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-23-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-24-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-25-3_Z_7804,Z_7804
Z_7804,3,BCH4F0006-26-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-09-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-10-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-19-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-20-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-21-3_Z_7804,Z_7804
Z_7804,3,BCH4F0007-22-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-07-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-08-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-11-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-12-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-13-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-14-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-15-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-16-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-17-3_Z_7804,Z_7804
Z_7804,3,BCH4F0008-18-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-02-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-03-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-04-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-05-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-06-3_Z_7804,Z_7804
Z_7804,3,BCH4F0009-07-3_Z_7804,Z_7804
